Date,MUFG,Mizuho,SMFG,SMTH,Resona,Chiba,Gunma,Suruga,Yamaguchi,Concordia,Hokuhoku,NK225,TOPIX,USDJPY,TPX_Banks
2024-12-06,1718.2359619140625,3653.7509765625,3580.8447265625,3567.295166015625,1192.32080078125,1232.64111328125,1062.9150390625,1007.7318115234375,1548.0511474609375,875.3010864257812,1879.4915771484375,39091.171875,2851.238037109375,150.20700073242188,361.6895751953125
2024-12-09,1722.509033203125,3663.33056640625,3622.737060546875,3609.68408203125,1177.720947265625,1215.88671875,1066.7161865234375,1030.7218017578125,1542.322998046875,870.902099609375,1879.975341796875,39160.5,2860.216796875,150.02999877929688,362.73382568359375
2024-12-10,1714.9124755859375,3651.8349609375,3609.40771484375,3571.06298828125,1173.3409423828125,1208.2276611328125,1066.7161865234375,1020.1846923828125,1546.1417236328125,865.7380981445312,1843.6917724609375,39367.578125,2864.207275390625,151.4080047607422,361.8794250488281
2024-12-11,1749.096923828125,3676.74267578125,3628.44970703125,3584.250732421875,1181.6141357421875,1225.460693359375,1071.4677734375,1026.89013671875,1549.9605712890625,874.5360717773438,1893.5211181640625,39372.23046875,2877.675537109375,151.8070068359375,365.5817565917969
2024-12-12,1758.1177978515625,3685.364501953125,3624.64111328125,3597.4384765625,1178.2076416015625,1237.90673828125,1077.6446533203125,1033.5955810546875,1551.869873046875,877.4049682617188,1901.2618408203125,39849.140625,2899.12451171875,152.2449951171875,366.6260070800781
2024-12-13,1756.2186279296875,3656.624755859375,3586.55712890625,3551.28125,1167.98779296875,1209.66357421875,1068.1416015625,1047.0064697265625,1555.21142578125,864.87744140625,1885.78076171875,39470.44140625,2873.684814453125,152.58700561523438,364.8222961425781
2024-12-16,1763.3404541015625,3649.9189453125,3579.892333984375,3553.1650390625,1163.12109375,1203.9193115234375,1058.1634521484375,1063.2911376953125,1560.9395751953125,858.5657958984375,1873.6861572265625,39457.48828125,2861.71337890625,153.4530029296875,363.58819580078125
2024-12-17,1729.156005859375,3620.221435546875,3507.533203125,3509.834228515625,1130.0281982421875,1184.771484375,1042.4835205078125,1056.585693359375,1538.9813232421875,841.0655517578125,1845.14306640625,39364.6796875,2847.746337890625,154.08599853515625,357.6075134277344
2024-12-18,1721.084716796875,3620.221435546875,3483.730712890625,3481.574462890625,1117.861572265625,1170.8892822265625,1045.3343505859375,1061.375244140625,1548.5284423828125,837.4315795898438,1857.237548828125,39081.7109375,2845.751220703125,153.57200622558594,356.3733825683594
2024-12-19,1741.97509765625,3694.944091796875,3564.658935546875,3486.284423828125,1133.92138671875,1172.325439453125,1036.7816162109375,1109.2713623046875,1539.9361572265625,843.9344482421875,1870.2996826171875,38813.578125,2837.77001953125,154.67300415039062,360.5503845214844
2024-12-20,1683.5770263671875,3607.767578125,3476.11376953125,3429.765380859375,1076.9820556640625,1146.95458984375,1016.8252563476562,1097.7762451171875,1524.660888671875,821.46142578125,1833.048583984375,38701.8984375,2823.80322265625,157.6439971923828,352.3862609863281
2024-12-23,1709.2152099609375,3628.84326171875,3517.05419921875,3464.61865234375,1097.4217529296875,1165.6236572265625,1022.527099609375,1111.18701171875,1553.302001953125,831.1200561523438,1880.4591064453125,39161.33984375,2852.734619140625,156.5330047607422,356.18353271484375
2024-12-24,1716.811767578125,3671.952392578125,3562.754638671875,3485.34228515625,1121.2681884765625,1168.01708984375,1029.654296875,1101.60791015625,1563.8037109375,834.9451904296875,1900.294189453125,39036.8515625,2854.729736328125,157.1649932861328,359.2213439941406
